Freq.	V(vo)/V(Vi)
1.79887091512876e+002	(-3.88983578683833e+001dB,-9.06577223071911e+001°)
1.80301774085954e+002	(-3.88783244686274e+001dB,-9.06592078310196e+001°)
1.80717412601090e+002	(-3.88582909144391e+001dB,-9.06606968736777e+001°)
1.81134009261958e+002	(-3.88382572054140e+001dB,-9.06621894431959e+001°)
1.81551566277311e+002	(-3.88182233404499e+001dB,-9.06636855476929e+001°)
1.81970085860996e+002	(-3.87981893192898e+001dB,-9.06651851952242e+001°)
1.82389570231961e+002	(-3.87781551410566e+001dB,-9.06666883939268e+001°)
1.82810021614272e+002	(-3.87581208046380e+001dB,-9.06681951519673e+001°)
1.83231442237119e+002	(-3.87380863097672e+001dB,-9.06697054774682e+001°)
1.83653834334832e+002	(-3.87180516555567e+001dB,-9.06712193786266e+001°)
1.84077200146893e+002	(-3.86980168412700e+001dB,-9.06727368636313e+001°)
1.84501541917945e+002	(-3.86779818661671e+001dB,-9.06742579407122e+001°)
1.84926861897805e+002	(-3.86579467295048e+001dB,-9.06757826181084e+001°)
1.85353162341478e+002	(-3.86379114305360e+001dB,-9.06773109040775e+001°)
1.85780445509167e+002	(-3.86178759685879e+001dB,-9.06788428068933e+001°)
1.86208713666284e+002	(-3.85978403427522e+001dB,-9.06803783348729e+001°)
1.86637969083464e+002	(-3.85778045522718e+001dB,-9.06819174963352e+001°)
1.87068214036577e+002	(-3.85577685965402e+001dB,-9.06834602996103e+001°)
1.87499450806739e+002	(-3.85377324747160e+001dB,-9.06850067530702e+001°)
1.87931681680324e+002	(-3.85176961860314e+001dB,-9.06865568650962e+001°)
1.88364908948977e+002	(-3.84976597298693e+001dB,-9.06881106440793e+001°)
1.88799134909627e+002	(-3.84776231049920e+001dB,-9.06896680984827e+001°)
1.89234361864495e+002	(-3.84575863110838e+001dB,-9.06912292367158e+001°)
1.89670592121112e+002	(-3.84375493472083e+001dB,-9.06927940672540e+001°)
1.90107827992327e+002	(-3.84175122125797e+001dB,-9.06943625985868e+001°)
1.90546071796322e+002	(-3.83974749064087e+001dB,-9.06959348392224e+001°)
1.90985325856621e+002	(-3.83774374279023e+001dB,-9.06975107976952e+001°)
1.91425592502106e+002	(-3.83573997763408e+001dB,-9.06990904825385e+001°)
1.91866874067026e+002	(-3.83373619506925e+001dB,-9.07006739023551e+001°)
1.92309172891013e+002	(-3.83173239503846e+001dB,-9.07022610657072e+001°)
1.92752491319091e+002	(-3.82972857746094e+001dB,-9.07038519812157e+001°)
1.93196831701689e+002	(-3.82772474223239e+001dB,-9.07054466575334e+001°)
1.93642196394658e+002	(-3.82572088929441e+001dB,-9.07070451032980e+001°)
1.94088587759275e+002	(-3.82371701855739e+001dB,-9.07086473271917e+001°)
1.94536008162263e+002	(-3.82171312993131e+001dB,-9.07102533379210e+001°)
1.94984459975802e+002	(-3.81970922336437e+001dB,-9.07118631441827e+001°)
1.95433945577536e+002	(-3.81770529871952e+001dB,-9.07134767547660e+001°)
1.95884467350596e+002	(-3.81570135596730e+001dB,-9.07150941783841e+001°)
1.96336027683602e+002	(-3.81369739499306e+001dB,-9.07167154238536e+001°)
1.96788628970681e+002	(-3.81169341571256e+001dB,-9.07183404999760e+001°)
1.97242273611482e+002	(-3.80968941805664e+001dB,-9.07199694155728e+001°)
1.97696964011183e+002	(-3.80768540194802e+001dB,-9.07216021794866e+001°)
1.98152702580507e+002	(-3.80568136725502e+001dB,-9.07232388006344e+001°)
1.98609491735734e+002	(-3.80367731393815e+001dB,-9.07248792878629e+001°)
1.99067333898716e+002	(-3.80167324190351e+001dB,-9.07265236501003e+001°)
1.99526231496885e+002	(-3.79966915104138e+001dB,-9.07281718963057e+001°)
1.99986186963271e+002	(-3.79766504129563e+001dB,-9.07298240354115e+001°)
2.00447202736513e+002	(-3.79566091255575e+001dB,-9.07314800764233e+001°)
2.00909281260870e+002	(-3.79365676474164e+001dB,-9.07331400283390e+001°)
2.01372424986236e+002	(-3.79165259776513e+001dB,-9.07348039001865e+001°)
2.01836636368153e+002	(-3.78964841154532e+001dB,-9.07364717010094e+001°)
2.02301917867824e+002	(-3.78764420597005e+001dB,-9.07381434399018e+001°)
2.02768271952125e+002	(-3.78563998098076e+001dB,-9.07398191259276e+001°)
2.03235701093619e+002	(-3.78363573646445e+001dB,-9.07414987682281e+001°)
2.03704207770569e+002	(-3.78163147233089e+001dB,-9.07431823759434e+001°)
2.04173794466950e+002	(-3.77962718850481e+001dB,-9.07448699582202e+001°)
2.04644463672464e+002	(-3.77762288488741e+001dB,-9.07465615242567e+001°)
2.05116217882553e+002	(-3.77561856138717e+001dB,-9.07482570832523e+001°)
2.05589059598411e+002	(-3.77361421791986e+001dB,-9.07499566444394e+001°)
2.06062991326997e+002	(-3.77160985436999e+001dB,-9.07516602170910e+001°)
2.06538015581050e+002	(-3.76960547066788e+001dB,-9.07533678104602e+001°)
2.07014134879101e+002	(-3.76760106671262e+001dB,-9.07550794338548e+001°)
2.07491351745488e+002	(-3.76559664241824e+001dB,-9.07567950965932e+001°)
2.07969668710366e+002	(-3.76359219767524e+001dB,-9.07585148080341e+001°)
2.08449088309726e+002	(-3.76158773238910e+001dB,-9.07602385775508e+001°)
2.08929613085401e+002	(-3.75958324648797e+001dB,-9.07619664145101e+001°)
2.09411245585086e+002	(-3.75757873984562e+001dB,-9.07636983283559e+001°)
2.09893988362349e+002	(-3.75557421238932e+001dB,-9.07654343285146e+001°)
2.10377843976644e+002	(-3.75356966400737e+001dB,-9.07671744244505e+001°)
2.10862814993325e+002	(-3.75156509463388e+001dB,-9.07689186256330e+001°)
2.11348903983661e+002	(-3.74956050412539e+001dB,-9.07706669416087e+001°)
2.11836113524847e+002	(-3.74755589241511e+001dB,-9.07724193818823e+001°)
2.12324446200018e+002	(-3.74555125940496e+001dB,-9.07741759560150e+001°)
2.12813904598268e+002	(-3.74354660497326e+001dB,-9.07759366736095e+001°)
2.13304491314654e+002	(-3.74154192903643e+001dB,-9.07777015442510e+001°)
2.13796208950220e+002	(-3.73953723151044e+001dB,-9.07794705775618e+001°)
2.14289060112002e+002	(-3.73753251227224e+001dB,-9.07812437832131e+001°)
2.14783047413050e+002	(-3.73552777122915e+001dB,-9.07830211708712e+001°)
2.15278173472434e+002	(-3.73352300828805e+001dB,-9.07848027502318e+001°)
2.15774440915263e+002	(-3.73151822333991e+001dB,-9.07865885310281e+001°)
2.16271852372698e+002	(-3.72951341625980e+001dB,-9.07883785230341e+001°)
2.16770410481966e+002	(-3.72750858698403e+001dB,-9.07901727359799e+001°)
2.17270117886371e+002	(-3.72550373539446e+001dB,-9.07919711796842e+001°)
2.17770977235312e+002	(-3.72349886139558e+001dB,-9.07937738639594e+001°)
2.18272991184296e+002	(-3.72149396486058e+001dB,-9.07955807986743e+001°)
2.18776162394951e+002	(-3.71948904570842e+001dB,-9.07973919936804e+001°)
2.19280493535041e+002	(-3.71748410383448e+001dB,-9.07992074588725e+001°)
2.19785987278479e+002	(-3.71547913911817e+001dB,-9.08010272041836e+001°)
2.20292646305342e+002	(-3.71347415145390e+001dB,-9.08028512395620e+001°)
2.20800473301886e+002	(-3.71146914075097e+001dB,-9.08046795749669e+001°)
2.21309470960560e+002	(-3.70946410689507e+001dB,-9.08065122203914e+001°)
2.21819641980018e+002	(-3.70745904977140e+001dB,-9.08083491858728e+001°)
