Freq.	V(vo)
2.10862814993325e+02	(-2.32121471851158e-04dB,-1.28751701282236e+01°)
2.11348903983661e+02	(-2.32069694871571e-04dB,-1.29049788022438e+01°)
2.11836113524847e+02	(-2.32018805996037e-04dB,-1.29348570989897e+01°)
2.12324446200018e+02	(-2.31968824971603e-04dB,-1.29648051854375e+01°)
2.12813904598268e+02	(-2.31919771815332e-04dB,-1.29948232289954e+01°)
2.13304491314654e+02	(-2.31871666876026e-04dB,-1.30249113975050e+01°)
2.13796208950220e+02	(-2.31824530803363e-04dB,-1.30550698592429e+01°)
2.14289060112002e+02	(-2.31778384580690e-04dB,-1.30852987829214e+01°)
2.14783047413050e+02	(-2.31733249519232e-04dB,-1.31155983376907e+01°)
2.15278173472434e+02	(-2.31689147255202e-04dB,-1.31459686931396e+01°)
2.15774440915263e+02	(-2.31646099751726e-04dB,-1.31764100192970e+01°)
2.16271852372698e+02	(-2.31604129332602e-04dB,-1.32069224866338e+01°)
2.16770410481966e+02	(-2.31563258650470e-04dB,-1.32375062660636e+01°)
2.17270117886371e+02	(-2.31523510709960e-04dB,-1.32681615289444e+01°)
2.17770977235312e+02	(-2.31484908871546e-04dB,-1.32988884470801e+01°)
2.18272991184296e+02	(-2.31447476869874e-04dB,-1.33296871927218e+01°)
2.18776162394951e+02	(-2.31411238780005e-04dB,-1.33605579385692e+01°)
2.19280493535041e+02	(-2.31376219070457e-04dB,-1.33915008577720e+01°)
2.19785987278479e+02	(-2.31342442569452e-04dB,-1.34225161239313e+01°)
2.20292646305342e+02	(-2.31309934492881e-04dB,-1.34536039111012e+01°)
2.20800473301886e+02	(-2.31278720444305e-04dB,-1.34847643937902e+01°)
2.21309470960560e+02	(-2.31248826422672e-04dB,-1.35159977469624e+01°)
2.21819641980018e+02	(-2.31220278814598e-04dB,-1.35473041460393e+01°)
2.22330989065136e+02	(-2.31193104416550e-04dB,-1.35786837669009e+01°)
